"","Department","Turnout","MAS.vote","Fraud.type"
"1","Chuquisaca",0.859405312946874,0.486527531207594,"Clean"
"2","Chuquisaca",0.894904236294114,0.403457332227908,"Clean"
"3","Chuquisaca",0.897040149814124,0.359153239867157,"Clean"
"4","Chuquisaca",0.904917622282781,0.848769041619548,"VS"
"5","Chuquisaca",0.878843729832392,0.42867783998765,"Clean"
"6","Chuquisaca",0.862272806664842,0.530786810565137,"Clean"
"7","Chuquisaca",0.874419590746267,0.892911427794363,"VS"
"8","Chuquisaca",0.89774059137245,0.481656073209855,"Clean"
"9","Chuquisaca",0.908159965940755,0.893780489277078,"VS"
"10","Chuquisaca",0.864010097771821,0.52707264693347,"Clean"
"11","Chuquisaca",0.896757993555059,0.500863564029267,"Clean"
"12","Chuquisaca",0.894748402599418,0.545569494864529,"Clean"
"13","Chuquisaca",0.871668022560616,0.413180163750689,"Clean"
"14","Chuquisaca",0.8804058309553,0.452106036173367,"Clean"
"15","Chuquisaca",0.990710578385554,0.500018617106368,"BBS"
"16","Chuquisaca",0.873594653727069,0.963091475059305,"VS"
"17","Chuquisaca",0.876865499135591,0.438816224133997,"Clean"
"18","Chuquisaca",0.958819382669172,0.431296239002497,"BBS"
"19","Chuquisaca",0.985419241593446,0.460636336800768,"BBS"
"20","Chuquisaca",0.966574618913269,0.418519276721122,"BBS"
"21","Chuquisaca",0.874970675405437,0.469797762544318,"Clean"
"22","Chuquisaca",0.867448443539924,0.803042732738591,"VS"
"23","Chuquisaca",0.869089135500861,0.389867728566701,"Clean"
"24","Chuquisaca",0.906034762402562,0.898987272671429,"VS"
"25","Chuquisaca",0.87238025160917,0.879990700566902,"VS"
"26","Chuquisaca",0.865303462703112,0.896104930360752,"VS"
"27","Chuquisaca",0.878115626692576,0.563965569933159,"Clean"
"28","Chuquisaca",0.857308075041058,0.838408312146453,"VS"
"29","Chuquisaca",0.873625486622503,0.893917912766242,"VS"
"30","Chuquisaca",0.868075112502475,0.561638689211537,"Clean"
"31","Chuquisaca",0.880229287561675,0.447626626993289,"Clean"
"32","Chuquisaca",0.863723803800236,0.362120680181002,"Clean"
"33","Chuquisaca",0.862792315522659,0.447559748410947,"Clean"
"34","Chuquisaca",0.904753979483293,0.35062904429507,"Clean"
"35","Chuquisaca",0.880956861824916,0.554600493236573,"Clean"
"36","Chuquisaca",0.88947616196673,0.368138623897937,"Clean"
"37","Chuquisaca",0.889188038045448,0.82804569467711,"VS"
"38","Chuquisaca",0.89826480924814,0.517405678175104,"Clean"
"39","Chuquisaca",0.898463960599161,0.406671665264644,"Clean"
"40","Chuquisaca",0.8648216539819,0.45647250605975,"Clean"
"41","Chuquisaca",0.906899279983055,0.432328480314214,"Clean"
"42","Chuquisaca",0.888382092257606,0.538268876052153,"Clean"
